minimum_gain_threshold_1982_usd,point_estimate_headroom_1982_usd,bootstrap_exceedance_fraction
0,1794.34,0.9978
100,1694.34,0.9946
200,1594.34,0.9924
300,1494.34,0.9898
400,1394.34,0.9854
500,1294.34,0.9772
600,1194.34,0.965
700,1094.34,0.9512
800,994.34,0.9354
900,894.34,0.9134
1000,794.34,0.8876
1100,694.34,0.8564
1200,594.34,0.8154
1300,494.34,0.7706
1400,394.34,0.726
1500,294.34,0.6692
1600,194.34,0.6128
1700,94.34,0.5536
1800,-5.66,0.4918
1900,-105.66,0.4394
2000,-205.66,0.3818
2100,-305.66,0.331
2200,-405.66,0.2808
2300,-505.66,0.232
2400,-605.66,0.191
2500,-705.66,0.153
2600,-805.66,0.1168
2700,-905.66,0.0924
2800,-1005.66,0.07
2900,-1105.66,0.05
3000,-1205.66,0.0366
3100,-1305.66,0.0264
3200,-1405.66,0.0184
3300,-1505.66,0.0124
3400,-1605.66,0.0084
3500,-1705.66,0.0068
3600,-1805.66,0.0046
3700,-1905.66,0.0032
3800,-2005.66,0.002
3900,-2105.66,0.0012
4000,-2205.66,0.0008
